timestamp,id_albero,lat,long,Circoscrizione,Quartiere,UPL,Altezza complessiva [m],Altezza della base della chioma [m],id_operatore ,nome_operatore,ruolo_operatore,ora_controllo,nido_visibile,richiami,andirivieni,esito,note,firma_operatore,firma_capocantiere,url_foto_1,url_foto_2,url_foto_3,url_pdf
2026-05-30T17:14:34.000Z,1014,38.20156338,13.28062049,VII,Tommaso Natale - Sferracavallo,Sferracavallo,8.27,2.21,OP-05,Carlo Verdi,Operatore,17:14:00,Si,No,No,SOSPENDERE,Ispezione effettuata in condizioni di buona visibilità.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1014_2026-05-30_17-14-34/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1014_2026-05-30_17-14-34/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1014_2026-05-30_17-14-34/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1014_2026-05-30_17-14-34.pdf
2026-05-30T18:09:30.000Z,1015,38.19921335,13.28122928,VII,Tommaso Natale - Sferracavallo,Sferracavallo,9.48,2.84,OP-05,Carlo Verdi,Operatore,18:09:00,No,Si,Si,STATO DI NECESSITÀ,"Nido rilevato a circa 4 m dal suolo, sul lato est.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1015_2026-05-30_18-09-30/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1015_2026-05-30_18-09-30/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1015_2026-05-30_18-09-30/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1015_2026-05-30_18-09-30.pdf
2026-05-30T19:05:17.000Z,1016,38.20290005,13.27784677,VII,Tommaso Natale - Sferracavallo,Sferracavallo,1.79,0.6,OP-05,Carlo Verdi,Operatore,19:05:00,Si,No,No,STATO DI NECESSITÀ,Andirivieni osservato per circa 10 minuti.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1016_2026-05-30_19-05-17/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1016_2026-05-30_19-05-17/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1016_2026-05-30_19-05-17/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1016_2026-05-30_19-05-17.pdf
2026-05-30T19:54:31.000Z,1017,38.20315147,13.27843947,VII,Tommaso Natale - Sferracavallo,Sferracavallo,3.74,1.66,OP-05,Carlo Verdi,Operatore,19:54:00,Si,Si,No,STATO DI NECESSITÀ,"Pianta in classe D, pericolo imminente per viabilità.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1017_2026-05-30_19-54-31/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1017_2026-05-30_19-54-31/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1017_2026-05-30_19-54-31/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1017_2026-05-30_19-54-31.pdf
2026-05-30T20:38:00.000Z,1018,38.20326661,13.27858508,VII,Tommaso Natale - Sferracavallo,Sferracavallo,3.6,1.52,OP-05,Carlo Verdi,Operatore,20:38:00,Si,No,Si,STATO DI NECESSITÀ,Richiami udibili dal lato nord della chioma.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1018_2026-05-30_20-38-00/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1018_2026-05-30_20-38-00/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1018_2026-05-30_20-38-00/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1018_2026-05-30_20-38-00.pdf
2026-05-30T21:44:29.000Z,1019,38.1989229,13.28116977,VII,Tommaso Natale - Sferracavallo,Sferracavallo,7.43,0.66,OP-05,Carlo Verdi,Operatore,21:44:00,Si,No,Si,SOSPENDERE,"Nido rilevato a circa 4 m dal suolo, sul lato est.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1019_2026-05-30_21-44-29/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1019_2026-05-30_21-44-29/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1019_2026-05-30_21-44-29/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1019_2026-05-30_21-44-29.pdf
2026-05-30T22:27:42.000Z,1020,38.2022018,13.28045607,VII,Tommaso Natale - Sferracavallo,Sferracavallo,10.31,1.57,OP-05,Carlo Verdi,Operatore,22:27:00,Si,No,No,NEGATIVO,"Pianta in classe D, pericolo imminente per viabilità.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1020_2026-05-30_22-27-42/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1020_2026-05-30_22-27-42/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1020_2026-05-30_22-27-42/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1020_2026-05-30_22-27-42.pdf
2026-05-30T23:24:49.000Z,1021,38.19880982,13.28120244,VII,Tommaso Natale - Sferracavallo,Sferracavallo,9.16,1.6,OP-05,Carlo Verdi,Operatore,23:24:00,Si,Si,Si,STATO DI NECESSITÀ,"Chioma densa, visibilità ridotta nella parte alta.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1021_2026-05-30_23-24-49/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1021_2026-05-30_23-24-49/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1021_2026-05-30_23-24-49/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1021_2026-05-30_23-24-49.pdf
2026-05-31T00:01:32.000Z,1022,38.20344799,13.27880855,VII,Tommaso Natale - Sferracavallo,Sferracavallo,4.39,0.6,OP-05,Carlo Verdi,Operatore,00:01:00,Si,Si,Si,STATO DI NECESSITÀ,Nido strutturato con materiale di costruzione fresco.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1022_2026-05-31_00-01-32/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1022_2026-05-31_00-01-32/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1022_2026-05-31_00-01-32/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1022_2026-05-31_00-01-32.pdf
2026-05-31T00:53:58.000Z,1023,38.1988562,13.28118531,VII,Tommaso Natale - Sferracavallo,Sferracavallo,7.3,0.58,OP-05,Carlo Verdi,Operatore,00:53:00,No,Si,Si,STATO DI NECESSITÀ,Ispezione effettuata in condizioni di buona visibilità.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1023_2026-05-31_00-53-58/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1023_2026-05-31_00-53-58/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1023_2026-05-31_00-53-58/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1023_2026-05-31_00-53-58.pdf
2026-05-31T01:59:54.000Z,1025,38.20259645,13.27742909,VII,Tommaso Natale - Sferracavallo,Sferracavallo,3.72,,OP-05,Carlo Verdi,Operatore,01:59:00,No,No,Si,NEGATIVO,"Chioma densa, visibilità ridotta nella parte alta.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1025_2026-05-31_01-59-54/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1025_2026-05-31_01-59-54/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1025_2026-05-31_01-59-54/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1025_2026-05-31_01-59-54.pdf
2026-05-31T02:39:05.000Z,1026,38.20174769,13.28044054,VII,Tommaso Natale - Sferracavallo,Sferracavallo,6.2,2.21,OP-05,Carlo Verdi,Operatore,02:39:00,Si,Si,Si,SOSPENDERE,Nessuna nota aggiuntiva.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1026_2026-05-31_02-39-05/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1026_2026-05-31_02-39-05/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1026_2026-05-31_02-39-05/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1026_2026-05-31_02-39-05.pdf
2026-05-31T03:28:07.000Z,1027,38.20330752,13.27863836,VII,Tommaso Natale - Sferracavallo,Sferracavallo,4.09,1.13,OP-05,Carlo Verdi,Operatore,03:28:00,No,Si,Si,SOSPENDERE,Andirivieni osservato per circa 10 minuti.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1027_2026-05-31_03-28-07/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1027_2026-05-31_03-28-07/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1027_2026-05-31_03-28-07/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1027_2026-05-31_03-28-07.pdf
2026-05-31T04:18:51.000Z,1028,38.20271975,13.27759816,VII,Tommaso Natale - Sferracavallo,Sferracavallo,4.78,1.73,OP-05,Carlo Verdi,Operatore,04:18:00,No,Si,No,SOSPENDERE,Presenza di cavità nel tronco principale.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1028_2026-05-31_04-18-51/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1028_2026-05-31_04-18-51/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1028_2026-05-31_04-18-51/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1028_2026-05-31_04-18-51.pdf
2026-05-31T05:07:41.000Z,1029,38.20333482,13.27843563,VII,Tommaso Natale - Sferracavallo,Sferracavallo,4.36,1.73,OP-05,Carlo Verdi,Operatore,05:07:00,No,No,No,NEGATIVO,Andirivieni osservato per circa 10 minuti.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1029_2026-05-31_05-07-41/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1029_2026-05-31_05-07-41/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1029_2026-05-31_05-07-41/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1029_2026-05-31_05-07-41.pdf
2026-05-31T06:12:32.000Z,1030,38.20335978,13.27870029,VII,Tommaso Natale - Sferracavallo,Sferracavallo,3.86,1.49,OP-05,Carlo Verdi,Operatore,06:12:00,Si,Si,No,STATO DI NECESSITÀ,"Chioma densa, visibilità ridotta nella parte alta.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1030_2026-05-31_06-12-32/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1030_2026-05-31_06-12-32/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1030_2026-05-31_06-12-32/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1030_2026-05-31_06-12-32.pdf
2026-05-31T06:52:28.000Z,1031,38.20308755,13.27810129,VII,Tommaso Natale - Sferracavallo,Sferracavallo,4.71,1.69,OP-05,Carlo Verdi,Operatore,06:52:00,No,Si,No,NEGATIVO,Andirivieni osservato per circa 10 minuti.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1031_2026-05-31_06-52-28/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1031_2026-05-31_06-52-28/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1031_2026-05-31_06-52-28/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1031_2026-05-31_06-52-28.pdf
2026-05-31T07:43:29.000Z,1032,38.20321208,13.27827027,VII,Tommaso Natale - Sferracavallo,Sferracavallo,4.4,1.6,OP-05,Carlo Verdi,Operatore,07:43:00,No,Si,Si,STATO DI NECESSITÀ,Nido strutturato con materiale di costruzione fresco.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1032_2026-05-31_07-43-29/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1032_2026-05-31_07-43-29/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1032_2026-05-31_07-43-29/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1032_2026-05-31_07-43-29.pdf
2026-06-01T07:07:16.000Z,1070,38.19752839,13.27726145,VII,Tommaso Natale - Sferracavallo,Sferracavallo,5.54,2.21,OP-05,Carlo Verdi,Operatore,07:07:00,Si,Si,Si,SOSPENDERE,"Chioma densa, visibilità ridotta nella parte alta.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1070_2026-06-01_07-07-16/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1070_2026-06-01_07-07-16/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1070_2026-06-01_07-07-16/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1070_2026-06-01_07-07-16.pdf
2026-06-01T07:55:31.000Z,1085,38.18834257,13.28804576,VII,Tommaso Natale - Sferracavallo,Tommaso Natale - Sant'Ambrogio - Cardillo,7.93,2.3,OP-05,Carlo Verdi,Operatore,07:55:00,Si,No,Si,SOSPENDERE,,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1085_2026-06-01_07-55-31/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1085_2026-06-01_07-55-31/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1085_2026-06-01_07-55-31/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1085_2026-06-01_07-55-31.pdf
2026-06-01T08:52:35.000Z,1150,38.18855299,13.28788459,VII,Tommaso Natale - Sferracavallo,Tommaso Natale - Sant'Ambrogio - Cardillo,6,1.54,OP-05,Carlo Verdi,Operatore,08:52:00,No,Si,Si,SOSPENDERE,"Nido rilevato a circa 4 m dal suolo, sul lato est.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1150_2026-06-01_08-52-35/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1150_2026-06-01_08-52-35/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1150_2026-06-01_08-52-35/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1150_2026-06-01_08-52-35.pdf
